date,symbol,volume,volume_ma_30,close
2023-04-03,BNB-USD,701865645.0,619783958.5333333,308.5623779296875
2023-04-04,BNB-USD,575672802.0,629386406.0,310.9948425292969
2023-04-05,BNB-USD,592856922.0,636676279.6666666,314.06317138671875
2023-04-06,BNB-USD,530706217.0,641927269.4,312.45465087890625
2023-04-07,BNB-USD,478098163.0,643308373.5,310.6994934082031
2023-04-08,BNB-USD,461767801.0,641845000.9,310.6347351074219
2023-04-09,BNB-USD,465627007.0,638740010.7666667,312.87225341796875
2023-04-10,BNB-USD,565754261.0,640144366.8666667,318.3790588378906
2023-04-11,BNB-USD,896643000.0,653929979.5333333,322.7582702636719
2023-04-12,BNB-USD,639928192.0,637838765.2333333,318.9537658691406
2023-04-13,BNB-USD,684442464.0,631781050.0333333,324.9480895996094
2023-04-14,BNB-USD,941862415.0,643281096.2333333,329.1738586425781
2023-04-15,BNB-USD,730957108.0,623073172.3666667,333.40728759765625
2023-04-16,BNB-USD,936315454.0,623131415.9,348.2209167480469
2023-04-17,BNB-USD,856381072.0,624061737.3666667,339.9941101074219
2023-04-18,BNB-USD,741280408.0,625241474.5666667,343.1934509277344
2023-04-19,BNB-USD,826810466.0,630059269.3,322.70751953125
2023-04-20,BNB-USD,663981561.0,630904964.7666667,317.8899230957031
2023-04-21,BNB-USD,1057530805.0,623468916.8666667,321.67498779296875
2023-04-22,BNB-USD,670641138.0,627577257.3,331.9950866699219
2023-04-23,BNB-USD,639990072.0,633288535.2,330.61883544921875
2023-04-24,BNB-USD,662758378.0,640745060.4666667,331.2458801269531
2023-04-25,BNB-USD,682400159.0,651384527.9,338.3255615234375
2023-04-26,BNB-USD,910334786.0,659835106.7666667,330.82177734375
2023-04-27,BNB-USD,750494420.0,668907308.3,331.1950988769531
2023-04-28,BNB-USD,1069178743.0,688448526.4,324.500244140625
2023-04-29,BNB-USD,536818146.0,686536434.0333333,322.1347351074219
2023-04-30,BNB-USD,865228956.0,701396398.9333333,337.6455383300781
2023-05-01,BNB-USD,912601797.0,716378601.2333333,328.7242126464844
2023-05-02,BNB-USD,686766524.0,724523162.7333333,321.95269775390625
2023-05-03,BNB-USD,822037855.0,728528903.0666667,326.212890625
2023-05-04,BNB-USD,467074893.0,724908972.7666667,323.9171447753906
2023-05-05,BNB-USD,519090054.0,722450077.1666666,326.9403076171875
2023-05-06,BNB-USD,494274153.0,721235675.0333333,322.7740173339844
2023-05-07,BNB-USD,437921018.0,719896436.8666667,321.6110534667969
2023-05-08,BNB-USD,636404503.0,725717660.2666667,313.9712219238281
2023-05-09,BNB-USD,461175016.0,725569260.5666667,312.5137023925781
2023-05-10,BNB-USD,545212280.0,724884527.8666667,314.57745361328125
2023-05-11,BNB-USD,484941644.0,711161149.3333334,307.6958312988281
2023-05-12,BNB-USD,509746023.0,706821743.7,308.6031188964844
2023-05-13,BNB-USD,385073781.0,696842787.6,311.0868835449219
2023-05-14,BNB-USD,404468149.0,678929645.4,312.1358947753906
2023-05-15,BNB-USD,432273711.0,668973532.1666666,313.5294189453125
2023-05-16,BNB-USD,402988974.0,651195982.8333334,311.3800354003906
2023-05-17,BNB-USD,437721579.0,637240666.4,314.0835266113281
2023-05-18,BNB-USD,383049498.0,625299636.0666667,309.4566955566406
2023-05-19,BNB-USD,334636708.0,608893844.1333333,308.9642944335937
2023-05-20,BNB-USD,277393160.0,596007564.1,310.719970703125
2023-05-21,BNB-USD,302803530.0,570849988.2666667,306.5067138671875
2023-05-22,BNB-USD,355156561.0,560333835.7,309.2456359863281
2023-05-23,BNB-USD,361568579.0,551053119.2666667,313.5062255859375
2023-05-24,BNB-USD,418835791.0,542922366.3666667,305.9327697753906
2023-05-25,BNB-USD,401117895.0,533546290.9,304.733642578125
2023-05-26,BNB-USD,475658791.0,519057091.06666666,306.8863220214844
2023-05-27,BNB-USD,331579600.0,505093263.73333335,307.5917663574219
2023-05-28,BNB-USD,405623337.0,482974750.2,314.2700500488281
2023-05-29,BNB-USD,543284868.0,483190307.6,311.80718994140625
2023-05-30,BNB-USD,392038878.0,467417305.0,311.6845092773437
2023-05-31,BNB-USD,474410245.0,452810919.93333334,306.86669921875
2023-06-01,BNB-USD,354897855.0,441748630.96666664,304.9532775878906
2023-06-02,BNB-USD,382256220.0,427089243.1333333,307.4237976074219
2023-06-03,BNB-USD,260995871.0,420219942.4,306.7201232910156
2023-06-04,BNB-USD,273449324.0,412031918.06666666,305.15679931640625
2023-06-05,BNB-USD,928515688.0,426506635.9,276.8892517089844
2023-06-06,BNB-USD,691784529.0,434968752.93333334,281.4955749511719
2023-06-07,BNB-USD,958739195.0,445713242.6666667,259.3914489746094
2023-06-08,BNB-USD,562863852.0,449102870.53333336,262.14849853515625
2023-06-09,BNB-USD,491429998.0,447310127.8,260.7160949707031
2023-06-10,BNB-USD,1068424942.0,466759571.06666666,239.08908081054688
2023-06-11,BNB-USD,376213808.0,462308497.23333335,235.4387969970703
2023-06-12,BNB-USD,1014433334.0,483287149.0,231.0514373779297
2023-06-13,BNB-USD,864407068.0,498618446.3,243.8905334472656
2023-06-14,BNB-USD,738634212.0,508830463.0,237.5742645263672
2023-06-15,BNB-USD,502420772.0,512144856.26666665,236.2806854248047
2023-06-16,BNB-USD,488582672.0,513840226.03333336,239.1146697998047
2023-06-17,BNB-USD,451849200.0,516133549.43333334,244.610580444336
