date,symbol,close,lag_1,lag_7,lag_30
2023-06-16,BTC-USD,26327.462890625,25576.39453125,26480.375,27398.802734375
2023-06-17,BTC-USD,26510.67578125,26327.462890625,25851.240234375,26832.208984375
2023-06-18,BTC-USD,26336.212890625,26510.67578125,25940.16796875,26890.12890625
2023-06-19,BTC-USD,26851.029296875,26336.212890625,25902.5,27129.5859375
2023-06-20,BTC-USD,28327.48828125,26851.029296875,25918.728515625,26753.826171875
2023-06-21,BTC-USD,30027.296875,28327.48828125,25124.67578125,26851.27734375
2023-06-22,BTC-USD,29912.28125,30027.296875,25576.39453125,27225.7265625
2023-06-23,BTC-USD,30695.46875,29912.28125,26327.462890625,26334.818359375
2023-06-24,BTC-USD,30548.6953125,30695.46875,26510.67578125,26476.20703125
2023-06-25,BTC-USD,30480.26171875,30548.6953125,26336.212890625,26719.291015625
2023-06-26,BTC-USD,30271.130859375,30480.26171875,26851.029296875,26868.353515625
2023-06-27,BTC-USD,30688.1640625,30271.130859375,28327.48828125,28085.646484375
2023-06-28,BTC-USD,30086.24609375,30688.1640625,30027.296875,27745.884765625
2023-06-29,BTC-USD,30445.3515625,30086.24609375,29912.28125,27702.349609375
2023-06-30,BTC-USD,30477.251953125,30445.3515625,30695.46875,27219.658203125
2023-07-01,BTC-USD,30590.078125,30477.251953125,30548.6953125,26819.97265625
2023-07-02,BTC-USD,30620.76953125,30590.078125,30480.26171875,27249.58984375
2023-07-03,BTC-USD,31156.439453125,30620.76953125,30271.130859375,27075.12890625
2023-07-04,BTC-USD,30777.58203125,31156.439453125,30688.1640625,27119.06640625
2023-07-05,BTC-USD,30514.166015625,30777.58203125,30086.24609375,25760.09765625
2023-07-06,BTC-USD,29909.337890625,30514.166015625,30445.3515625,27238.783203125
2023-07-07,BTC-USD,30342.265625,29909.337890625,30477.251953125,26345.998046875
2023-07-08,BTC-USD,30292.541015625,30342.265625,30590.078125,26508.216796875
2023-07-09,BTC-USD,30171.234375,30292.541015625,30620.76953125,26480.375
2023-07-10,BTC-USD,30414.470703125,30171.234375,31156.439453125,25851.240234375
2023-07-11,BTC-USD,30620.951171875,30414.470703125,30777.58203125,25940.16796875
2023-07-12,BTC-USD,30391.646484375,30620.951171875,30514.166015625,25902.5
2023-07-13,BTC-USD,31476.048828125,30391.646484375,29909.337890625,25918.728515625
2023-07-14,BTC-USD,30334.068359375,31476.048828125,30342.265625,25124.67578125
2023-07-15,BTC-USD,30295.806640625,30334.068359375,30292.541015625,25576.39453125
2023-07-16,BTC-USD,30249.1328125,30295.806640625,30171.234375,26327.462890625
2023-07-17,BTC-USD,30145.888671875,30249.1328125,30414.470703125,26510.67578125
2023-07-18,BTC-USD,29856.5625,30145.888671875,30620.951171875,26336.212890625
2023-07-19,BTC-USD,29913.923828125,29856.5625,30391.646484375,26851.029296875
2023-07-20,BTC-USD,29792.015625,29913.923828125,31476.048828125,28327.48828125
2023-07-21,BTC-USD,29908.744140625,29792.015625,30334.068359375,30027.296875
2023-07-22,BTC-USD,29771.802734375,29908.744140625,30295.806640625,29912.28125
2023-07-23,BTC-USD,30084.5390625,29771.802734375,30249.1328125,30695.46875
2023-07-24,BTC-USD,29176.916015625,30084.5390625,30145.888671875,30548.6953125
2023-07-25,BTC-USD,29227.390625,29176.916015625,29856.5625,30480.26171875
2023-07-26,BTC-USD,29354.97265625,29227.390625,29913.923828125,30271.130859375
2023-07-27,BTC-USD,29210.689453125,29354.97265625,29792.015625,30688.1640625
2023-07-28,BTC-USD,29319.24609375,29210.689453125,29908.744140625,30086.24609375
2023-07-29,BTC-USD,29356.91796875,29319.24609375,29771.802734375,30445.3515625
2023-07-30,BTC-USD,29275.30859375,29356.91796875,30084.5390625,30477.251953125
2023-07-31,BTC-USD,29230.111328125,29275.30859375,29176.916015625,30590.078125
2023-08-01,BTC-USD,29675.732421875,29230.111328125,29227.390625,30620.76953125
2023-08-02,BTC-USD,29151.958984375,29675.732421875,29354.97265625,31156.439453125
2023-08-03,BTC-USD,29178.6796875,29151.958984375,29210.689453125,30777.58203125
2023-08-04,BTC-USD,29074.091796875,29178.6796875,29319.24609375,30514.166015625
2023-08-05,BTC-USD,29042.126953125,29074.091796875,29356.91796875,29909.337890625
2023-08-06,BTC-USD,29041.85546875,29042.126953125,29275.30859375,30342.265625
2023-08-07,BTC-USD,29180.578125,29041.85546875,29230.111328125,30292.541015625
2023-08-08,BTC-USD,29765.4921875,29180.578125,29675.732421875,30171.234375
2023-08-09,BTC-USD,29561.494140625,29765.4921875,29151.958984375,30414.470703125
2023-08-10,BTC-USD,29429.591796875,29561.494140625,29178.6796875,30620.951171875
2023-08-11,BTC-USD,29397.71484375,29429.591796875,29074.091796875,30391.646484375
2023-08-12,BTC-USD,29415.96484375,29397.71484375,29042.126953125,31476.048828125
