date,symbol,close
2023-09-28,BTC-USD,27021.546875
2023-09-29,BTC-USD,26911.720703125
2023-09-30,BTC-USD,26967.916015625
2023-10-01,BTC-USD,27983.75
2023-10-02,BTC-USD,27530.78515625
2023-10-03,BTC-USD,27429.978515625
2023-10-04,BTC-USD,27799.39453125
2023-10-05,BTC-USD,27415.912109375
2023-10-06,BTC-USD,27946.59765625
2023-10-07,BTC-USD,27968.83984375
2023-10-08,BTC-USD,27935.08984375
2023-10-09,BTC-USD,27583.677734375
2023-10-10,BTC-USD,27391.01953125
2023-10-11,BTC-USD,26873.3203125
2023-10-12,BTC-USD,26756.798828125
2023-10-13,BTC-USD,26862.375
2023-10-14,BTC-USD,26861.70703125
2023-10-15,BTC-USD,27159.65234375
2023-10-16,BTC-USD,28519.466796875
2023-10-17,BTC-USD,28415.748046875
2023-10-18,BTC-USD,28328.341796875
2023-10-19,BTC-USD,28719.806640625
2023-10-20,BTC-USD,29682.94921875
2023-10-21,BTC-USD,29918.412109375
2023-10-22,BTC-USD,29993.896484375
2023-10-23,BTC-USD,33086.234375
2023-10-24,BTC-USD,33901.52734375
2023-10-25,BTC-USD,34502.8203125
2023-10-26,BTC-USD,34156.6484375
2023-10-27,BTC-USD,33909.80078125
2023-10-28,BTC-USD,34089.57421875
2023-10-29,BTC-USD,34538.48046875
2023-10-30,BTC-USD,34502.36328125
2023-10-31,BTC-USD,34667.78125
2023-11-01,BTC-USD,35437.25390625
2023-11-02,BTC-USD,34938.2421875
2023-11-03,BTC-USD,34732.32421875
2023-11-04,BTC-USD,35082.1953125
2023-11-05,BTC-USD,35049.35546875
2023-11-06,BTC-USD,35037.37109375
2023-11-07,BTC-USD,35443.5625
2023-11-08,BTC-USD,35655.27734375
2023-11-09,BTC-USD,36693.125
2023-11-10,BTC-USD,37313.96875
2023-11-11,BTC-USD,37138.05078125
2023-11-12,BTC-USD,37054.51953125
2023-11-13,BTC-USD,36502.35546875
2023-11-14,BTC-USD,35537.640625
2023-11-15,BTC-USD,37880.58203125
2023-11-16,BTC-USD,36154.76953125
2023-11-17,BTC-USD,36596.68359375
2023-11-18,BTC-USD,36585.703125
2023-11-19,BTC-USD,37386.546875
2023-11-20,BTC-USD,37476.95703125
2023-11-21,BTC-USD,35813.8125
2023-11-22,BTC-USD,37432.33984375
2023-11-23,BTC-USD,37289.62109375
2023-11-24,BTC-USD,37720.28125
2023-11-25,BTC-USD,37796.79296875
2023-11-26,BTC-USD,37479.12109375
2023-11-27,BTC-USD,37254.16796875
2023-11-28,BTC-USD,37831.0859375
2023-11-29,BTC-USD,37858.4921875
2023-11-30,BTC-USD,37712.74609375
2023-12-01,BTC-USD,38688.75
2023-12-02,BTC-USD,39476.33203125
2023-12-03,BTC-USD,39978.390625
2023-12-04,BTC-USD,41980.09765625
2023-12-05,BTC-USD,44080.6484375
2023-12-06,BTC-USD,43746.4453125
2023-12-07,BTC-USD,43292.6640625
2023-12-08,BTC-USD,44166.6015625
2023-12-09,BTC-USD,43725.984375
2023-12-10,BTC-USD,43779.69921875
2023-12-11,BTC-USD,41243.83203125
2023-12-12,BTC-USD,41450.22265625
2023-12-13,BTC-USD,42890.7421875
2023-12-14,BTC-USD,43023.97265625
2023-12-15,BTC-USD,41929.7578125
2023-12-16,BTC-USD,42240.1171875
2023-12-17,BTC-USD,41364.6640625
2023-12-18,BTC-USD,42623.5390625
2023-12-19,BTC-USD,42270.52734375
2023-12-20,BTC-USD,43652.25
2023-12-21,BTC-USD,43869.15234375
2023-12-22,BTC-USD,43997.90234375
2023-12-23,BTC-USD,43739.54296875
2023-12-24,BTC-USD,43016.1171875
2023-12-25,BTC-USD,43613.140625
2023-12-26,BTC-USD,42520.40234375
2023-12-27,BTC-USD,43442.85546875
2023-12-28,BTC-USD,42627.85546875
